Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTDs,Int,RushAtt,RushYds,RushY/A,RushTDs,Tgt,Rec,RecYds,Y/R,RecTDs,Fmb,FL,TotTDs,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
110,Rashee Rice,KAN,WR,23,7,1,0,0,0,0,0,1,-3,-3.0,0,34,26,305,11.73,3,0,0,3,,,48.0,74.2,77.2,61.2,,39,
111,Jaylen Waddle,MIA,WR,25,6,6,0,0,0,0,0,1,-2,-2.0,0,41,30,359,11.97,2,0,0,2,,,48.0,77.7,80.7,62.7,,40,
112,Jaleel McLaughlin,DEN,RB,23,7,1,0,0,0,0,0,34,235,6.91,1,12,10,59,5.9,2,0,0,3,,,47.0,57.4,60.4,52.4,,27,
113,Rachaad White,TAM,RB,24,6,6,0,0,0,0,0,83,266,3.2,1,23,22,163,7.41,0,1,1,1,,,47.0,68.9,75.9,57.9,,28,
114,D.K. Metcalf,SEA,WR,26,5,5,0,0,0,0,0,0,0,,0,32,22,337,15.32,2,0,0,2,,,46.0,67.7,70.7,56.7,,42,
115,Michael Wilson,ARI,WR,23,7,6,0,0,0,0,0,0,0,,0,27,21,343,16.33,2,0,0,2,,,46.0,67.3,70.3,56.8,,41,
116,Amari Cooper,CLE,WR,29,6,6,0,0,0,0,0,0,0,,0,47,24,389,16.21,1,1,0,1,,,45.0,68.9,71.9,56.9,,44,
117,Tank Dell,HOU,WR,24,5,3,0,0,0,0,0,4,9,2.25,0,28,19,324,17.05,2,1,0,2,,,45.0,64.3,67.3,54.8,,43,
118,Jahmyr Gibbs,DET,RB,21,5,2,0,0,0,0,0,50,247,4.94,1,28,23,128,5.57,0,0,0,1,,,44.0,66.5,72.5,55.0,,29,
119,Tyler Lockett,SEA,WR,31,6,6,0,0,0,0,0,0,0,,0,40,27,289,10.7,2,0,0,2,1.0,,43.0,69.9,72.9,56.4,,46,
120,Dameon Pierce,HOU,RB,23,6,6,0,0,0,0,0,97,281,2.9,1,12,9,84,9.33,0,0,0,1,,,43.0,51.5,54.5,47.0,,30,
121,Jayden Reed,GNB,WR,23,6,5,0,0,0,0,0,1,-2,-2.0,0,31,16,231,14.44,3,1,0,3,1.0,,43.0,58.9,61.9,50.9,,47,
122,Michael Thomas,NOR,WR,30,7,5,0,0,0,0,0,0,0,,0,54,34,371,10.91,1,0,0,1,,,43.0,77.1,80.1,60.1,,45,
123,Chris Godwin,TAM,WR,27,6,6,0,1,0,0,0,0,0,,0,49,33,398,12.06,0,0,0,0,1.0,,42.0,74.8,77.8,58.3,,48,
124,Khalil Herbert,CHI,RB,25,5,5,0,0,0,0,0,51,272,5.33,0,18,10,83,8.3,1,1,1,1,1.0,,42.0,51.5,55.5,46.5,,31,
125,Najee Harris,PIT,RB,25,6,6,0,0,0,0,0,77,300,3.9,1,12,8,52,6.5,0,1,0,1,,,41.0,49.2,52.2,45.2,,32,
126,Joshua Kelley,LAC,RB,26,6,3,0,0,0,0,0,65,284,4.37,2,5,2,7,3.5,0,0,0,2,,,41.0,43.1,46.1,42.1,,33,
127,D'Onta Foreman,CHI,RB,27,3,2,0,0,0,0,0,36,170,4.72,2,9,6,41,6.83,1,1,0,3,,,39.0,45.1,48.1,42.1,,34,
128,Josh Palmer,LAC,WR,24,6,3,0,0,0,0,0,0,0,,0,35,20,353,17.65,1,1,1,1,,,39.0,59.3,63.3,49.3,,49,
129,Ezekiel Elliott,NWE,RB,28,7,0,0,0,0,0,0,60,224,3.73,2,17,13,59,4.54,0,1,1,2,,,38.0,51.3,55.3,44.8,,35,
130,Justice Hill,BAL,RB,26,6,3,0,0,0,0,0,41,196,4.78,3,11,11,27,2.45,0,1,1,3,,,38.0,49.3,53.3,43.8,,36,
131,DeAndre Hopkins,TEN,WR,31,6,6,0,0,0,0,0,0,0,,0,47,27,376,13.93,0,0,0,0,,,38.0,64.6,67.6,51.1,,51,
132,Cooper Kupp,LAR,WR,30,3,3,0,0,0,0,0,0,0,,0,28,17,295,17.35,1,0,0,1,1.0,,38.0,54.5,57.5,46.0,,52,
133,K.J. Osborn,MIN,WR,26,7,6,0,0,0,0,0,0,0,,0,37,22,261,11.86,2,0,0,2,,,38.0,60.1,63.1,49.1,,50,
134,Jaylen Warren,PIT,RB,25,6,0,0,0,0,0,0,40,156,3.9,1,27,22,165,7.5,0,1,0,1,,,38.0,60.1,66.1,49.1,,37,
135,AJ Dillon,GNB,RB,25,6,3,0,0,0,0,0,79,255,3.23,1,8,5,59,11.8,0,0,0,1,,,37.0,42.4,45.4,39.9,,38,
136,Tyrod Taylor,NYG,QB,34,6,2,53,80,571,2,0,17,65,3.82,0,0,0,0,,0,1,0,0,,,37.0,37.3,40.3,37.3,,34,
137,Chuba Hubbard,CAR,RB,24,6,1,0,0,0,0,0,54,242,4.48,1,15,13,59,4.54,0,0,0,1,,,36.0,49.1,52.1,42.6,,39,
138,Javonte Williams,DEN,RB,23,6,5,0,0,0,0,0,63,272,4.32,0,19,14,65,4.64,0,0,0,0,1.0,,36.0,49.7,52.7,42.7,,40,
139,Marvin Mims,DEN,WR,21,7,2,0,0,0,0,0,4,2,0.5,0,13,10,246,24.6,1,1,1,2,,,35.0,44.8,48.8,39.8,,53,
140,Nelson Agholor,BAL,WR,30,7,2,0,0,0,0,0,0,0,,0,21,17,222,13.06,2,1,0,2,,,34.0,51.2,54.2,42.7,,54,
141,Tyjae Spears,TEN,RB,22,6,0,0,0,0,0,0,31,171,5.52,1,20,15,111,7.4,0,0,0,1,,,34.0,49.2,55.2,41.7,,41,
142,Logan Thomas,WAS,TE,32,6,6,0,0,0,0,0,1,2,2.0,0,32,23,236,10.26,2,1,1,2,,,34.0,56.8,60.8,45.3,,13,
143,Austin Ekeler,LAC,RB,28,3,3,0,0,0,0,0,44,189,4.3,1,13,9,83,9.22,0,0,0,1,,,33.0,42.2,45.2,37.7,,42,
144,Hunter Henry,NWE,TE,29,7,6,0,0,0,0,0,0,0,,0,31,20,210,10.5,2,0,0,2,,,33.0,53.0,56.0,43.0,,14,
145,Taysom Hill,NOR,TE,33,7,4,3,3,25,0,0,29,140,4.83,1,19,15,115,7.67,0,0,0,1,,,33.0,47.5,53.5,40.0,,15,
146,Kareem Hunt,CLE,RB,28,4,1,0,0,0,0,0,32,103,3.22,3,7,5,46,9.2,0,0,0,3,,,33.0,37.9,40.9,35.4,,43,
147,Latavius Murray,BUF,RB,33,7,2,0,0,0,0,0,35,136,3.89,2,10,9,69,7.67,0,0,0,2,,,33.0,41.5,44.5,37.0,,44,
148,DJ Chark,CAR,WR,27,5,3,0,0,0,0,0,0,0,,0,27,13,197,15.15,2,0,0,2,,,32.0,44.7,47.7,38.2,,56,
149,Aaron Jones,GNB,RB,29,3,3,0,0,0,0,0,22,94,4.27,1,11,6,104,17.33,1,0,0,2,,,32.0,37.8,40.8,34.8,,45,
150,Kalif Raymond,DET,WR,29,7,3,0,0,0,0,0,3,54,18.0,0,19,16,207,12.94,1,0,0,1,,,32.0,48.1,51.1,40.1,,55,
151,Rondale Moore,ARI,WR,23,7,2,0,0,0,0,0,15,136,9.07,1,28,17,113,6.65,0,0,0,1,,,31.0,47.9,53.9,39.4,,58,
152,Mike Williams,LAC,WR,29,3,3,0,0,0,0,0,1,3,3.0,0,26,19,249,13.11,1,0,0,1,,,31.0,50.2,53.2,40.7,,57,
153,Brandon Johnson,DEN,WR,25,7,2,0,0,0,0,0,0,0,,0,13,8,122,15.25,3,0,0,3,,,30.0,38.2,41.2,34.2,,59,
154,Jerry Jeudy,DEN,WR,24,6,5,0,0,0,0,0,0,0,,0,34,25,286,11.44,0,1,0,0,,,29.0,53.6,56.6,41.1,,62,
155,Miles Sanders,CAR,RB,26,5,5,0,0,0,0,0,61,190,3.11,1,24,15,81,5.4,0,2,2,1,,,29.0,44.1,49.1,36.6,,46,
